competition_id,round_type_id,group_id,scramble_num,scramble_count
CubingUSANationals2017,f,A,2,343
CubingUSANationals2017,f,A,1,343
USNationals2016,f,A,1,280
USNationals2016,f,A,2,280
UzbekistanNationals2023,f,A,1,180
PleaseBeQuietinAstana2023,f,A,1,180
CubingKazakhstanNationals2023,f,A,1,180
PleaseBeQuietinTashkent2023,f,A,3,180
SupermiyaPBQinTashkent2024,f,A,2,180
SupermiyaPBQinTashkent2024,f,A,1,180
PleaseBeQuietinAstana2023,f,A,3,180
PleaseBeQuietinAstana2023,f,B,1,180
PleaseBeQuietinAstana2023,f,B,2,180
PleaseBeQuietinAstana2023,f,B,3,180
UzbekistanNationals2024,f,A,1,180
SupermiyaPBQinTashkent2024,f,A,3,180
PleaseBeQuietinTashkent2023,f,A,2,180
PleaseBeQuietinTashkent2023,f,A,1,180
PleaseBeQuietinAstana2023,f,A,2,180
PBQinTashkent2025,f,A,1,150
PBQinTashkent2025,f,A,3,150
PBQinTashkent2025,f,A,2,150
BlindTillNineinVietnam2024,f,A,2,130
BlindTillNineinVietnam2024,f,A,1,130
NorthwestChampionships2017,f,A,1,126
ColombianNationals2024,f,B,1,120
ColombianNationals2024,f,A,1,120
BogotaNoDuerme2024,f,A,1,120
AvenidaChileXX2025,f,A,1,120
ColombianNationals2024,f,A,2,120
SilentClubBogota2025,f,A,1,120
ChampagneOpen2016,f,A,1,112
SNUOpen2018,f,A,1,105
MountainViewMultiMadness2023,1,B,2,100
MountainViewMultiMadness2023,f,A,3,100
NAC2022,f,A,1,100
NaticubeSidenBlind2024,f,A,1,100
SlowNSteadySpring2024,f,A,1,100
BASC57BigandBlind2024,f,C,1,100
MountainViewMultiMadness2023,2,A,3,100
MountainViewMultiMadness2023,1,B,1,100
MountainViewMultiMadness2023,1,A,2,100
MountainViewMultiMadness2023,2,A,1,100
MountainViewMultiMadness2023,2,A,2,100
SouthBayWeeknightBF32024,f,A,1,100
SouthBayWeeknightBF32024,f,A,2,100
MountainViewMultiMadness2023,1,B,3,100
MountainViewMultiMadness2023,1,C,1,100
MountainViewMultiMadness2023,1,C,2,100
MountainViewMultiMadness2023,1,A,3,100
MountainViewMultiMadness2023,f,A,1,100
MountainViewMultiMadness2023,f,A,2,100
BASC57BigandBlind2024,f,A,1,100
TitanBigNBlind2024,f,A,2,100
MountainViewMultiMadness2023,1,A,1,100
RoskildeByNight2022,f,A,1,100
BASC57BigandBlind2024,f,B,1,100
TashkentAllEvents2022,f,A,1,100
TashkentOpen2022,f,A,1,100
NAC2022,f,A,2,100
TitanBigNBlind2024,f,A,1,100
VegasBigandBlind2024,f,A,1,100
TaiwanChampionship2022,f,A,1,100
CubingUSAWesternChampionship2023,f,A,1,99
BASC38PBQ2022,f,A,2,99
BASC38PBQ2022,f,A,1,99
CubingUSAWesternChampionship2023,f,A,2,99
SCUIIIFMCTripleScoop2026,f,B,1,98
WaterlooBlindfolded2025,f,A,1,98
SCUIIIFMCTripleScoop2026,f,C,1,98
SCUIIIFMCTripleScoop2026,f,B,2,98
PBSPickeringEvening2023,f,A,1,98
PBSPickering2022,f,A,1,98
MississaugaBlindfolded2024,f,A,1,98
PleaseBeQuietPickering2023,f,A,1,98
PoliMiMentalBreakdown2022,f,A,2,98
SCUIIIFMCTripleScoop2026,f,A,1,98
SCUIIIFMCTripleScoop2026,f,A,2,98
PBQPickering2022,f,A,2,91
PBQPickering2022,f,A,1,91
PopularnBlindFlen2022,f,A,2,91
PopularnBlindFlen2022,f,A,3,91
SoCalSilentSpectacular2022,f,A,1,90
SoCalSilentSpectacular2022,f,B,3,90
UCSDMultiBlindCooldown2025,f,A,2,90
UCSDMultiBlindCooldown2025,f,A,1,90
SoCalSilentSpectacular2022,f,B,1,90
SoCalSilentSpectacular2022,f,A,2,90
SoCalSilentSpectacular2022,f,A,3,90
PleaseBeQuietWPIWinter2018,f,A,3,90
SoCalSilentSpectacular2022,f,B,2,90
RenoBlindSideSpring2024,f,A,1,85
RenoBlindSideSpring2024,f,A,2,85
WC2023,c,A,1,84
CubingUSANationals2023,f,A,2,84
NAC2024,f,A,1,84
NAC2024,f,A,2,84
CubingUSANationals2023,f,A,1,84
SacQuietSpring2023,f,A,2,80
SacQuietSpring2023,f,A,1,80
